nrg_cons,nrg_prc,currency,geo\time	2018 	2017 	2016S2 	2015S2 	2014S2 	2013S2 	2012S2 	2011S2 	2010S2 	2009S2 	2008S2 	2007S2 
KWH1000-2499,NETC,PPS,PL	0.0855 	0.0954 	0.1057 	0.1079 	0.1045 	0.1034 	0.1023 	0.0978 	0.0972 	0.0850 	0.0906 	0.1178 
KWH1000-2499,NETC,PPS,PT	0.0676 	0.0718 	0.0775 	0.0671 	0.0859 	0.0764 	0.0635 	0.0643 	0.0665 	0.0732 	0.0639 	: 
KWH1000-2499,NETC,PPS,RO	0.0819 	0.0827 	0.0937 	0.1048 	0.1026 	0.1060 	0.1031 	0.1007 	0.1011 	0.0989 	0.0992 	0.1063 
KWH1000-2499,NETC,PPS,RS	0.0737 	0.0760 	0.0792 	0.0802 	0.0789 	0.0873 	: 	: 	: 	: 	: 	: 
KWH1000-2499,NETC,PPS,SE	0.0785 	0.0795 	0.0789 	0.0736 	0.0726 	0.0658 	0.0631 	0.0630 	0.0558 	0.0551 	0.0564 	0.0500 
KWH1000-2499,NETC,PPS,SI	0.0868 	0.0864 	0.0904 	0.0857 	0.0874 	0.0867 	0.0870 	0.0814 	0.0801 	0.0795 	0.0720 	: 
KWH1000-2499,NETC,PPS,SK	0.0920 	0.0917 	0.1497 	0.1406 	0.1262 	0.1322 	0.1281 	0.1298 	0.1206 	0.1090 	0.1151 	0.1115 
KWH1000-2499,NETC,PPS,TR	0.0650 	0.0662 	0.0666 	0.0708 	0.0530 	0.0536 	0.0565 	0.0541 	0.0312 	0.0270 	0.0239 	: 
KWH1000-2499,NETC,PPS,UK	0.0417 	0.0470 	0.0497 	0.0435 	0.0396 	0.0359 	0.0343 	0.0340 	: 	0.0447 	0.0468 	: 
KWH1000-2499,NRG_SUP,EUR,AL	0.0759 	0.0713 	0.0695 	0.0683 	: 	: 	: 	: 	: 	: 	: 	: 
KWH1000-2499,NRG_SUP,EUR,AT	0.0674 	0.0663 	0.0672 	0.0715 	0.0784 	0.0829 	0.0832 	0.0867 	0.0747 	0.0747 	0.0705 	: 
KWH1000-2499,NRG_SUP,EUR,BA	0.0337 	0.0344 	0.0333 	0.0332 	: 	0.0368 	0.0363 	: 	: 	: 	: 	: 
KWH1000-2499,NRG_SUP,EUR,BE	0.0948 	0.0840 	0.0863 	0.0880 	0.0780 	0.0825 	0.0902 	0.0906 	0.0867 	0.0835 	0.1173 	0.0818 
KWH1000-2499,NRG_SUP,EUR,BG	0.0590 	0.0582 	0.0567 	0.0589 	0.0567 	0.0433 	0.0480 	0.0419 	0.0477 	0.0435 	0.0399 	0.0342 
KWH1000-2499,NRG_SUP,EUR,CY	0.1266 	0.1071 d	0.0902 	0.1073 	0.1527 	0.1644 	0.2028 	0.1665 	0.1324 	: 	: 	: 
KWH1000-2499,NRG_SUP,EUR,CZ	0.0694 	0.0653 	0.0625 	0.0624 	0.0605 	0.0678 	0.0748 	0.0701 	0.0732 	0.0831 	0.0752 	0.0588 
KWH1000-2499,NRG_SUP,EUR,DE	0.0775 	0.0797 	0.0829 	0.0885 	0.0920 	0.0976 	0.0958 	0.0908 	0.0993 	0.0904 	0.0903 	0.0747 
KWH1000-2499,NRG_SUP,EUR,DK	0.0503 	0.0388 	0.0459 	0.0433 	0.0499 	0.0520 	0.0565 	0.0712 	0.0636 	0.0501 	0.0834 	0.0439 
KWH1000-2499,NRG_SUP,EUR,EA	0.0934 	0.0879 	0.0874 	0.0927 	0.0946 	0.0964 	0.0874 	0.0907 	0.0889 	0.0919 	0.0932 	0.0727 
KWH1000-2499,NRG_SUP,EUR,EE	0.0529 	0.0451 	0.0456 	0.0454 	0.0474 	0.0484 	0.0498 	0.0321 	0.0320 	0.0329 	0.0313 	0.0284 
KWH1000-2499,NRG_SUP,EUR,EL	0.0886 	0.0940 	0.0907 	0.0971 	0.0921 	0.0853 	0.0661 	0.0629 	0.0558 	0.0543 	: 	: 
KWH1000-2499,NRG_SUP,EUR,ES	0.1768 d	0.1460 d	0.1503 	0.1613 	0.1587 	0.1589 	0.0910 	0.1028 	0.0941 	0.1100 	0.1032 	: 
KWH1000-2499,NRG_SUP,EUR,EU28	0.0882 	0.0817 	0.0854 	0.0925 	0.0972 	0.0968 	0.0914 	0.0912 	0.0823 	0.0868 	0.0898 	0.0632 
KWH1000-2499,NRG_SUP,EUR,FI	0.0594 	0.0577 	0.0587 	0.0617 	0.0651 	0.0686 	0.0683 	0.0722 	0.0647 	0.0601 	0.0594 	0.0522 
KWH1000-2499,NRG_SUP,EUR,FR	0.0724 	0.0706 	0.0710 	0.0736 	0.0738 	0.0750 	0.0708 	: 	: 	: 	: 	: 
KWH1000-2499,NRG_SUP,EUR,GE	0.0271 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH1000-2499,NRG_SUP,EUR,HR	0.0623 	0.0611 	0.0618 	0.0608 	0.0629 	0.0673 	0.0706 	0.0578 	0.0487 	0.0493 	0.0627 	0.0451 
KWH1000-2499,NRG_SUP,EUR,HU	0.0449 	0.0465 	0.0477 	0.0481 	0.0474 	0.0585 	0.0725 	: 	0.0757 	0.0826 	0.0753 	0.0599 
KWH1000-2499,NRG_SUP,EUR,IE	0.1354 	0.1276 	0.1464 	0.1543 	0.1618 	0.1512 	0.1488 	0.1291 	: 	: 	: 	: 
KWH1000-2499,NRG_SUP,EUR,IS	0.0485 	0.0489 	0.0441 	0.0371 	0.0333 	0.0305 	0.0307 	: 	: 	: 	: 	: 
KWH1000-2499,NRG_SUP,EUR,IT	0.1133 d	0.1048 d	0.0942 d	0.0982 	0.1059 	0.1087 	0.1142 	0.0988 	0.0951 	0.1078 	0.1112 	: 
KWH1000-2499,NRG_SUP,EUR,LI	: 	0.0690 	0.0761 	0.0815 	0.0728 	: 	: 	: 	: 	: 	: 	: 
KWH1000-2499,NRG_SUP,EUR,LT	0.0350 	0.0382 	0.0403 	0.0516 	0.0503 	0.0481 	0.0491 	0.0487 	0.0462 	0.0375 	0.0371 	0.0311 
KWH1000-2499,NRG_SUP,EUR,LU	0.0584 	0.0565 	0.0617 	0.0657 	0.0757 	0.0753 	0.0825 	0.0799 	0.0790 	0.1006 	0.0758 	0.0744 
KWH1000-2499,NRG_SUP,EUR,LV	0.0499 	0.0484 	0.0511 	0.0537 	0.0166 	0.0171 	0.0260 	0.0422 	0.0491 	0.0494 	0.0492 	0.0359 
KWH1000-2499,NRG_SUP,EUR,MD	0.0629 	0.0665 	0.0602 	0.0579 	: 	: 	: 	: 	: 	: 	: 	: 
KWH1000-2499,NRG_SUP,EUR,ME	0.0400 	0.0379 	0.0460 	0.0490 	0.0483 	0.0464 	0.0455 	0.0346 	: 	: 	: 	: 
KWH1000-2499,NRG_SUP,EUR,MK	0.0503 	0.0516 	0.0445 	0.0667 	: 	: 	: 	: 	: 	: 	: 	: 
KWH1000-2499,NRG_SUP,EUR,MT	0.1144 	0.1151 	0.1168 	0.1168 	0.1156 	0.1636 	0.1629 	0.1622 	0.1611 	0.1406 	0.1037 	0.0217 
KWH1000-2499,NRG_SUP,EUR,NL	0.0753 	0.0720 	0.0747 	0.0790 	0.0839 	0.0848 	0.0859 	0.0842 	0.0847 	0.0970 	0.0900 	0.0858 
KWH1000-2499,NRG_SUP,EUR,NO	0.0671 	0.0536 	0.0567 	0.0446 	0.0591 	0.0656 	0.0566 	0.0658 	0.0724 	0.0565 	0.0690 	0.0463 
KWH1000-2499,NRG_SUP,EUR,PL	0.0461 	0.0475 	0.0545 	0.0558 	0.0557 	0.0587 	0.0634 	0.0575 	0.0588 	0.0517 	0.0487 	0.0369 
KWH1000-2499,NRG_SUP,EUR,PT	0.0541 	0.0594 	0.0693 	0.0711 	0.0724 	0.0747 	0.0810 	0.0656 	0.0640 	0.0960 	0.0767 	: 
KWH1000-2499,NRG_SUP,EUR,RO	0.0579 	0.0497 	0.0456 	0.0436 	0.0412 	0.0391 	0.0288 	0.0342 	0.0352 	0.0324 	0.0353 	0.0385 
KWH1000-2499,NRG_SUP,EUR,RS	0.0270 	0.0256 	0.0234 	0.0220 	0.0209 	0.0163 	: 	: 	: 	: 	: 	: 
KWH1000-2499,NRG_SUP,EUR,SE	0.0542 	0.0423 	0.0488 	0.0432 	0.0498 	0.0591 	0.0631 	0.0673 	0.0697 	0.0567 	0.0657 	0.0522 
